Teacher,Class,Registered,Attended,Class Time
Jessica Taylor,Math - Algebra 1,31,31,13:30:00
Jake Anderson,English - Language 1,16,16,12:30:00
Beverly Thomas,History - World History AP,120,26,11:00:00
Rick White,Science - Biology 2,40,11,12:00:00
James Harris,Gym 2,41,17,11:00:00
George Martin,Health 3A,39,5,08:30:00
Amy Roebuck,Technology - Programming  2,56,14,11:30:00
Harry James,Math - Algebra 2,48,3,08:30:00
Bill Sluss,English - Language 2,96,32,13:30:00
John Jacob,History - US History AP,22,5,09:00:00
Jim Jeffs,Science - Geology 2,7,5,13:30:00
Jessica Taylor,Gym 1,86,86,16:00:00
Jake Anderson,Health 3B,107,35,11:00:00
Beverly Thomas,Technology - Networking 1,93,69,14:30:00
Rick White,Technology - Networking 2,80,21,15:30:00
James Harris,Technology - Networking 3,64,24,12:00:00
George Martin,Science - Biology 3,120,17,13:30:00
Amy Roebuck,Science - Biology 4,132,28,13:00:00
Harry James,Science - Biology 1,55,19,12:00:00
Bill Sluss,Health 3A,76,13,13:00:00
John Jacob,Health 2,21,21,16:00:00
Jim Jeffs,Health 1,103,103,15:30:00
Jessica Taylor,Science - Geology 1,41,25,08:00:00
Jake Anderson,History - World History AP,110,110,14:30:00
Beverly Thomas,English - Language 2,15,5,14:30:00
Rick White,Math - Algebra 2,86,18,14:00:00
James Harris,Technology - Programming  1,46,46,14:00:00
George Martin,Technology - Programming  3,58,7,10:00:00
Amy Roebuck,Math - Algebra 1,144,144,14:00:00
Harry James,English - Language 1,31,27,14:30:00
Bill Sluss,History - World History AP,136,41,16:00:00
John Jacob,Science - Biology 2,139,82,12:30:00
Jim Jeffs,Gym 2,17,10,10:00:00
Jessica Taylor,Health 3A,138,137,15:30:00
Jake Anderson,Technology - Programming  2,36,17,14:00:00
Beverly Thomas,Math - Algebra 2,111,9,10:30:00
Rick White,English - Language 2,29,5,15:30:00
James Harris,History - US History AP,28,7,09:30:00
George Martin,Science - Geology 2,137,17,13:30:00
Amy Roebuck,Gym 1,146,72,15:30:00
Harry James,Health 3B,64,6,11:00:00
Bill Sluss,Technology - Networking 1,75,19,11:00:00
John Jacob,Technology - Networking 2,103,42,10:30:00
Jim Jeffs,Technology - Networking 3,70,70,15:00:00
Jessica Taylor,Science - Biology 3,32,32,14:30:00
Jake Anderson,Science - Biology 4,51,30,12:30:00
Beverly Thomas,Science - Biology 1,8,5,13:00:00
Rick White,Health 3A,58,8,11:00:00
James Harris,Health 2,34,16,10:00:00
George Martin,Health 1,86,52,11:00:00
Amy Roebuck,Science - Geology 1,101,68,16:00:00
Harry James,History - World History AP,17,5,14:00:00
Bill Sluss,English - Language 2,107,11,08:30:00
John Jacob,Math - Algebra 2,100,45,10:00:00
Jim Jeffs,Technology - Programming  1,139,99,11:00:00
Jessica Taylor,Technology - Programming  3,105,33,10:30:00
Jake Anderson,Math - Algebra 1,61,61,10:00:00
Beverly Thomas,English - Language 1,63,32,10:30:00
Rick White,History - World History AP,92,7,08:30:00
James Harris,Science - Biology 2,72,12,08:30:00
George Martin,Gym 2,31,4,09:30:00
Amy Roebuck,Health 3A,127,28,11:30:00
Harry James,Technology - Programming  2,112,34,13:00:00
Bill Sluss,Math - Algebra 2,35,4,09:30:00
John Jacob,English - Language 2,74,38,10:30:00
Jim Jeffs,History - US History AP,118,31,09:30:00
Jessica Taylor,Science - Geology 2,17,7,14:00:00
Jake Anderson,Gym 1,130,130,11:30:00
Beverly Thomas,Health 3B,122,16,09:30:00
Rick White,Technology - Networking 1,143,71,12:30:00
James Harris,Technology - Networking 2,126,64,14:30:00
George Martin,Technology - Networking 3,145,30,11:30:00
Amy Roebuck,Science - Biology 3,119,7,08:30:00
Harry James,Science - Biology 4,12,2,09:00:00
Bill Sluss,Science - Biology 1,84,38,13:30:00
John Jacob,Health 3A,19,19,16:00:00
Jim Jeffs,Health 2,115,86,14:30:00
Jessica Taylor,Health 1,9,9,12:30:00
Jake Anderson,Science - Geology 1,17,9,08:30:00
Beverly Thomas,History - World History AP,121,9,08:00:00
Rick White,English - Language 2,73,8,11:00:00
James Harris,Math - Algebra 2,65,25,09:00:00
George Martin,Technology - Programming  1,14,5,13:00:00
Amy Roebuck,Technology - Programming  3,81,4,08:00:00
Harry James,Math - Algebra 1,120,44,08:00:00
Bill Sluss,English - Language 1,143,50,11:30:00
John Jacob,History - World History AP,122,70,11:00:00
Jim Jeffs,Science - Biology 2,132,106,12:30:00
Jessica Taylor,Gym 2,128,47,11:00:00
Jake Anderson,Health 3A,137,51,11:30:00
Beverly Thomas,Technology - Programming  2,11,2,10:30:00
Rick White,Math - Algebra 2,140,43,14:00:00
James Harris,English - Language 2,83,36,09:00:00
George Martin,History - US History AP,20,6,13:30:00
Amy Roebuck,Science - Geology 2,41,15,14:30:00
Harry James,Gym 1,108,81,14:30:00
Bill Sluss,Health 3B,128,44,13:30:00
John Jacob,Technology - Networking 1,82,50,08:00:00
Jim Jeffs,Technology - Networking 2,137,50,08:30:00
Jessica Taylor,Technology - Networking 3,132,23,08:00:00
Jake Anderson,Science - Biology 3,122,82,11:30:00
Beverly Thomas,Science - Biology 4,148,17,11:30:00
Rick White,Science - Biology 1,7,6,16:00:00
James Harris,Health 3A,51,18,10:00:00
George Martin,Health 2,79,25,15:30:00
Amy Roebuck,Health 1,105,38,10:00:00
Harry James,Science - Geology 1,85,54,16:00:00
Bill Sluss,History - World History AP,78,15,13:30:00
John Jacob,English - Language 2,137,49,08:30:00
Jim Jeffs,Math - Algebra 2,138,117,12:30:00
Jessica Taylor,Technology - Programming  1,55,47,08:30:00
Jake Anderson,Technology - Programming  3,115,41,08:30:00
Beverly Thomas,Math - Algebra 1,106,97,15:00:00
Rick White,English - Language 1,69,29,11:30:00
James Harris,History - World History AP,138,106,12:00:00
George Martin,Science - Biology 2,112,18,12:00:00
Amy Roebuck,Gym 2,140,31,11:30:00
Harry James,Health 3A,63,10,09:30:00
Bill Sluss,Technology - Programming  2,29,6,12:30:00
John Jacob,Math - Algebra 2,76,16,08:00:00
Jim Jeffs,English - Language 2,136,64,13:30:00
Jessica Taylor,History - US History AP,55,42,13:00:00
Jake Anderson,Science - Geology 2,92,50,10:30:00
Beverly Thomas,Gym 1,133,36,10:00:00
Rick White,Health 3B,69,5,10:00:00
James Harris,Technology - Networking 1,15,14,09:00:00
George Martin,Technology - Networking 2,146,29,15:30:00
Amy Roebuck,Technology - Networking 3,22,2,09:00:00
Harry James,Science - Biology 3,24,6,11:00:00
Bill Sluss,Science - Biology 4,101,14,14:30:00
John Jacob,Science - Biology 1,82,82,16:00:00
Jim Jeffs,Health 3A,28,16,12:00:00
Jessica Taylor,Health 2,110,75,12:00:00
Jake Anderson,Health 1,102,102,15:00:00
Beverly Thomas,Science - Geology 1,103,26,09:00:00
Rick White,History - World History AP,148,12,10:30:00
James Harris,English - Language 2,22,4,09:00:00
George Martin,Math - Algebra 2,101,28,16:00:00
Amy Roebuck,Technology - Programming  1,130,18,08:00:00
Harry James,Technology - Programming  3,52,5,08:30:00
Bill Sluss,Math - Algebra 1,98,82,13:30:00
John Jacob,English - Language 1,69,65,09:30:00
Jim Jeffs,History - World History AP,38,26,15:00:00
Jessica Taylor,Science - Biology 2,17,5,10:00:00
Jake Anderson,Gym 2,140,71,10:30:00
Beverly Thomas,Health 3A,98,15,15:30:00
Rick White,Technology - Programming  2,93,6,08:30:00
James Harris,Math - Algebra 2,125,104,16:00:00
George Martin,English - Language 2,139,26,13:30:00
Amy Roebuck,History - US History AP,101,32,13:00:00
Harry James,Science - Geology 2,50,14,12:30:00
Bill Sluss,Gym 1,130,130,14:30:00
John Jacob,Health 3B,59,20,12:00:00
Jim Jeffs,Technology - Networking 1,143,143,10:30:00
Jessica Taylor,Technology - Networking 2,128,75,11:30:00
Jake Anderson,Technology - Networking 3,117,23,08:30:00
Beverly Thomas,Science - Biology 3,149,36,14:00:00
Rick White,Science - Biology 4,16,3,13:30:00
James Harris,Science - Biology 1,29,29,13:30:00
George Martin,Health 3A,13,2,11:00:00
Amy Roebuck,Health 2,61,4,09:30:00
Harry James,Health 1,34,34,14:00:00
Bill Sluss,Science - Geology 1,5,2,09:00:00
John Jacob,History - World History AP,93,17,09:30:00
Jim Jeffs,English - Language 2,45,36,12:30:00
Jessica Taylor,Math - Algebra 2,70,70,14:30:00
Jake Anderson,Technology - Programming  1,140,140,09:30:00
Beverly Thomas,Technology - Programming  3,14,3,09:30:00
Rick White,Math - Algebra 1,14,13,15:00:00
James Harris,English - Language 1,46,46,11:00:00
George Martin,History - World History AP,13,2,10:00:00
Amy Roebuck,Science - Biology 2,93,16,09:30:00
Harry James,Gym 2,86,18,11:00:00
Bill Sluss,Health 3A,113,13,08:30:00
John Jacob,Technology - Programming  2,123,76,13:30:00
Jim Jeffs,Math - Algebra 2,9,4,13:00:00
Jessica Taylor,English - Language 2,34,7,08:30:00
Jake Anderson,History - US History AP,58,36,16:00:00
Beverly Thomas,Science - Geology 2,116,16,08:30:00
Rick White,Gym 1,136,30,09:30:00
James Harris,Health 3B,57,25,11:00:00
George Martin,Technology - Networking 1,47,18,13:30:00
Amy Roebuck,Technology - Networking 2,109,17,11:30:00
Harry James,Technology - Networking 3,120,38,14:30:00
Bill Sluss,Science - Biology 3,67,9,10:30:00
John Jacob,Science - Biology 4,32,9,10:00:00
Jim Jeffs,Science - Biology 1,107,107,08:30:00
Jessica Taylor,Health 3A,82,20,09:00:00
Jake Anderson,Health 2,121,38,10:30:00
Beverly Thomas,Health 1,18,16,13:00:00
Rick White,Science - Geology 1,18,18,16:00:00
James Harris,History - World History AP,67,56,14:30:00
George Martin,English - Language 2,112,17,13:00:00
Amy Roebuck,Math - Algebra 2,60,6,09:00:00
Harry James,Technology - Programming  1,131,45,10:00:00
Bill Sluss,Technology - Programming  3,77,9,09:00:00
John Jacob,Math - Algebra 1,139,139,15:00:00
Jim Jeffs,English - Language 1,8,8,15:30:00
Jessica Taylor,History - World History AP,102,102,15:30:00
Jake Anderson,Science - Biology 2,33,20,12:00:00
Beverly Thomas,Gym 2,74,12,13:30:00
Rick White,Health 3A,22,3,08:00:00
James Harris,Technology - Programming  2,113,19,09:00:00
George Martin,Math - Algebra 2,132,11,08:30:00
Amy Roebuck,English - Language 2,104,39,14:30:00
Harry James,History - US History AP,125,24,12:00:00
Bill Sluss,Science - Geology 2,144,37,13:30:00
John Jacob,Gym 1,55,55,11:30:00
Jim Jeffs,Health 3B,139,139,14:30:00
Jessica Taylor,Technology - Networking 1,87,87,14:00:00
Jake Anderson,Technology - Networking 2,110,28,09:30:00
Beverly Thomas,Technology - Networking 3,119,15,10:00:00
Rick White,Science - Biology 3,124,22,15:00:00
James Harris,Science - Biology 4,123,49,09:30:00
George Martin,Science - Biology 1,134,76,11:30:00
Amy Roebuck,Health 3A,10,2,11:30:00
Harry James,Health 2,51,6,12:30:00
Bill Sluss,Health 1,92,52,11:30:00
John Jacob,Science - Geology 1,59,59,16:00:00
Jim Jeffs,History - World History AP,34,27,15:00:00
Jessica Taylor,English - Language 2,92,82,13:00:00
Jake Anderson,Math - Algebra 2,30,30,15:00:00
Beverly Thomas,Technology - Programming  1,63,43,11:00:00
Rick White,Technology - Programming  3,106,6,08:30:00
James Harris,Math - Algebra 1,102,85,09:30:00
George Martin,English - Language 1,48,17,09:00:00
Amy Roebuck,History - World History AP,53,6,08:30:00
Harry James,Science - Biology 2,143,46,15:30:00
Bill Sluss,Gym 2,128,17,10:00:00
John Jacob,Health 3A,96,52,12:00:00
Jim Jeffs,Technology - Programming  2,98,39,10:00:00
Jessica Taylor,Math - Algebra 2,111,75,11:30:00
Jake Anderson,English - Language 2,35,15,12:00:00
Beverly Thomas,History - US History AP,135,23,13:30:00
Rick White,Science - Geology 2,95,13,09:30:00
James Harris,Gym 1,69,44,09:30:00
George Martin,Health 3B,23,2,09:00:00
Amy Roebuck,Technology - Networking 1,96,23,09:00:00
Harry James,Technology - Networking 2,43,10,11:00:00
Bill Sluss,Technology - Networking 3,131,10,08:30:00
John Jacob,Science - Biology 3,77,13,08:00:00
Jim Jeffs,Science - Biology 4,129,46,08:00:00
Jessica Taylor,Science - Biology 1,124,124,16:00:00
Jake Anderson,Health 3A,92,28,10:00:00
Beverly Thomas,Health 2,86,10,08:30:00
Rick White,Health 1,110,15,08:30:00
James Harris,Science - Geology 1,126,126,13:30:00
George Martin,History - World History AP,121,8,08:30:00
Amy Roebuck,English - Language 2,68,15,14:30:00
